customer_id,name,email,signup_date,region
1,David David,david.david@gmail.com,2025-02-24,LATAM
2,Alice Charlie,alice.charlie@company.org,2025-09-30,APAC
3,Bob Grace,bob.grace@outlook.com,2025-03-18,EU
4,Jack Frank,jack.frank@gmail.com,2025-11-17,NA
5,David Ivan,david.ivan@gmail.com,2025-05-07,NA
6,Grace Grace,invalid-email,2025-04-18,EU
7,Jack Alice,jack.alice@gmail.com,2025-11-07,LATAM
8,Hannah Eva,hannah.eva@yahoo.com,2025-12-04,NA
9,Frank Frank,frank.frank@yahoo.com,2025-10-16,NA
10,Bob Grace,bob.grace@outlook.com,2025-08-05,LATAM
11,David Frank,david.frank@outlook.com,2025-12-16,EU
12,Eva Bob,eva.bob@gmail.com,2025-05-12,EU
13,Jack Ivan,jack.ivan@outlook.com,2025-07-19,EU
14,David Bob,david.bob@yahoo.com,2025-03-10,NA
15,Frank Alice,invalid-email,2025-03-01,APAC
16,Grace Bob,grace.bob@yahoo.com,2025-06-28,EU
17,Eva Grace,eva.grace@company.org,2025-09-03,NA
18,Ivan Jack,ivan.jack@company.org,2025-10-29,EU
19,David David,david.david@outlook.com,2025-01-14,LATAM
20,David Eva,david.eva@gmail.com,2025-02-20,NA
21,Charlie Jack,charlie.jack@outlook.com,2025-06-07,LATAM
22,Grace Eva,grace.eva@outlook.com,2025-06-09,EU
23,Ivan Jack,ivan.jack@company.org,2025-11-26,APAC
24,Alice Hannah,alice.hannah@company.org,2025-01-19,LATAM
25,Bob Eva,bob.eva@gmail.com,2025-02-03,EU
26,Ivan Frank,ivan.frank@outlook.com,2025-09-09,LATAM
27,Eva Frank,eva.frank@yahoo.com,2025-01-23,APAC
28,Charlie Grace,charlie.grace@company.org,2024-12-27,APAC
29,Alice David,alice.david@yahoo.com,2025-04-24,APAC
30,Frank David,frank.david@gmail.com,2025-02-21,EU
31,Charlie Ivan,charlie.ivan@outlook.com,2025-02-03,APAC
32,Eva Alice,eva.alice@outlook.com,2025-09-24,NA
33,David Frank,david.frank@yahoo.com,2025-11-23,EU
34,Eva Charlie,eva.charlie@company.org,2025-05-28,EU
35,Grace Alice,grace.alice@outlook.com,2025-03-19,LATAM
36,Ivan Eva,ivan.eva@company.org,2025-05-10,NA
37,Alice Charlie,alice.charlie@gmail.com,2025-07-11,EU
38,Ivan Bob,ivan.bob@yahoo.com,2025-03-05,NA
39,Bob Hannah,bob.hannah@company.org,2025-08-28,APAC
40,Eva David,eva.david@company.org,2025-10-26,NA
41,Hannah Grace,hannah.grace@outlook.com,2025-03-01,EU
42,Bob Grace,bob.grace@company.org,2025-08-29,EU
43,Bob Ivan,bob.ivan@outlook.com,2025-03-03,LATAM
44,Jack Alice,jack.alice@outlook.com,2025-05-22,NA
45,Charlie David,charlie.david@outlook.com,2025-06-12,EU
46,Charlie Ivan,charlie.ivan@gmail.com,2025-06-07,NA
47,Alice Hannah,alice.hannah@gmail.com,2025-04-18,APAC
48,David Ivan,david.ivan@yahoo.com,2025-09-26,APAC
49,Bob Jack,bob.jack@company.org,2025-07-30,APAC
50,Grace Frank,grace.frank@outlook.com,2025-03-18,LATAM
51,Bob Alice,bob.alice@company.org,2025-04-17,NA
52,Ivan Grace,ivan.grace@company.org,2025-01-31,EU
53,Hannah Alice,hannah.alice@yahoo.com,2025-06-01,APAC
54,Hannah Eva,hannah.eva@outlook.com,2025-07-21,LATAM
55,Bob Frank,bob.frank@yahoo.com,2025-04-28,APAC
56,Ivan Eva,ivan.eva@yahoo.com,2025-02-22,EU
57,Eva Frank,eva.frank@yahoo.com,2025-04-21,NA
58,Jack Hannah,jack.hannah@gmail.com,2025-03-02,NA
59,Jack Hannah,jack.hannah@yahoo.com,2025-10-01,APAC
60,Hannah Alice,hannah.alice@company.org,2025-09-16,APAC
61,Frank Charlie,frank.charlie@outlook.com,2025-05-09,NA
62,Bob Alice,bob.alice@company.org,2025-01-15,NA
63,Alice Grace,alice.grace@gmail.com,2025-09-25,NA
64,David Hannah,david.hannah@outlook.com,2025-07-05,EU
65,Grace Bob,grace.bob@gmail.com,2025-01-02,APAC
66,Hannah Bob,hannah.bob@outlook.com,2025-01-27,APAC
67,Eva Frank,eva.frank@gmail.com,2025-11-30,LATAM
68,David Ivan,david.ivan@gmail.com,2025-11-20,LATAM
69,David Ivan,david.ivan@outlook.com,2025-06-11,LATAM
70,Grace Eva,grace.eva@gmail.com,2025-07-20,APAC
71,David Ivan,david.ivan@yahoo.com,2025-04-07,LATAM
72,David Bob,david.bob@outlook.com,2025-01-23,LATAM
73,Charlie Bob,charlie.bob@company.org,2025-04-03,LATAM
74,David Bob,david.bob@gmail.com,2025-04-07,LATAM
75,Bob Charlie,bob.charlie@yahoo.com,2025-09-20,APAC
76,Eva Frank,eva.frank@company.org,2025-02-13,NA
77,Frank Grace,frank.grace@yahoo.com,2025-08-31,APAC
78,Jack Grace,jack.grace@yahoo.com,2025-10-14,NA
79,Frank Ivan,frank.ivan@yahoo.com,2025-12-05,LATAM
80,Bob Charlie,bob.charlie@company.org,2025-04-13,APAC
81,Ivan Grace,ivan.grace@yahoo.com,2025-11-03,APAC
82,Jack Bob,jack.bob@yahoo.com,2025-05-04,LATAM
83,Alice Hannah,alice.hannah@gmail.com,2025-03-24,EU
84,David Alice,david.alice@yahoo.com,2025-09-07,EU
